name,hcode,acode,chinese_name,nickname
HOLLY FUTURES,03678.HK,001236.SZ,弘业期货,弘运通,弘業期貨
ZHEJIANG SHIBAO,01057.HK,002703.SZ,浙江世宝,浙江世寶
Beijing Jingcheng Machinery Electric,00187.HK,600860.SH,京城机电股份,Jingcheng Machinery,京城機電股份
FUDAN-ZHANGJIANG,01349.HK,688505.SH,复旦张江,FUDAN ZHANGJIANG,Shanghai Fudan-zhangjiang,復旦張江
Shandong Xinhua,00719.HK,000756.SZ,山东新华制药股份,Xinhua Pharmaceutical
NANJING PANDA,00553.HK,600775.SH,南京熊猫电子股份,Panda Electronics
CSC Financial,06066.HK,601066.SH,中信建投証券,
CC SECURITIES,01375.HK,601375.SH,中州证券,
TRIUMPH NEW EN,01108.HK,600876.SH,凯盛新能,Luoyang Glass,洛阳玻璃
SINOPEC SSC,01033.HK,600871.SH,中石化油服,Sinopec Oilfield Service,中国石化集团公司
SHANGHAI FUDAN,01385.HK,688385.SH,上海复旦,-复旦大学
DONGJIANG ENV,00895.HK,002672.SZ,东江环保,Dongjiang Environmental
CANSINOBIO,06185.HK,688185.SH,康希诺生物,康希诺
GUOLIAN SEC,01456.HK,601456.SH,国联证券,Guolian Securities
CHINA LONGYUAN,00916.HK,001289.SZ,龙源电力,Longyuan Power
Yangtze Optical FC,06869.HK,601869.SH,长飞光纤光缆,Yangtze Optical
CHINA LIFE,02628.HK,601628.SH,中国人寿,
EB SECURITIES,06178.HK,601788.SH,光大证券,Everbright Securities
CHINA SUNTIEN,00956.HK,600956.SH,新天绿色能源,
China Aluminum International Engineering,02068.HK,601068.SH,中铝国际,
FIRST TRACTOR,00038.HK,601038.SH,第一拖拉机股份,
HEPALINK,09989.HK,002399.SZ,海普瑞,Shenzhen Hepalink Pharmaceutical
Shenwan Hongyuan,06806.HK,000166.SZ,申万宏源,
China Galaxy Securities,06881.HK,601881.SH,中国银河,银河证券,Galaxy Securities
Great Wall Motor,02333.HK,601633.SH,长城汽车,
Dynagreen Environmental Protection Group,01330.HK,601330.SH,绿色动力环保,
Shanghai Petrochemical,00338.HK,600688.SH,上海石油化工股份,
China International Capital Corporation,03908.HK,601995.SH,中金公司,
COSCO Shipping Development,02866.HK,601866.SH,中远海发,
ANDRE JUICE,02218.HK,605198.SH,安德利果汁,
Semiconductor Manufacturing International Corporation,00981.HK,688981.SH,中芯国际,SMIC
GAC GROUP,02238.HK,601238.SH,广汽集团,Guangzhou Automobile Group
BBMG Corporation,02009.HK,601992.SH,金隅集团,(BBMG AND CORPORATE),("BBMG" AND "2009"),("BBMG" AND "601992")
CSSC offshore marine engineering,00317.HK,600685.SH,中船防务,COMEC
Shanghai Electric,02727.HK,601727.SH,上海电气,SH ELECTRIC
Shanghai Haohai Biological Technology,06826.HK,688366.SH,昊海生物科技,HAOHAI BIOTEC
Beijing North Star,00588.HK,601588.SH,北京北辰实业股份,BEIJING N STAR,北辰实业
China Energy Engineering Corporation,03996.HK,601868.SH,中国能源建设,CH ENERGY ENG
Shanghai DaZhong Public Utilities,01635.HK,600635.SH,大众公用,DZUG
GOLDWIND,02208.HK,002202.SZ,金风科技,
Orient Securities,03958.HK,600958.SH,东方证券,DFZQ
Qinhuangdao Port,03369.HK,601326.SH,秦港股份,QHD PORT
BANK OF ZHENG ZHOU,06196.HK,002936.SZ,郑州银行,
Dalian Port,02880.HK,601880.SH,辽港股份,LIAONING PORT
Shanghai Huahong Grace Semiconductor Manufacturing,01347.HK,688347.SH,华虹半导体,HUA HONG SEMI
China Communications Construction Company,01800.HK,601800.SH,中国交通建设,CHINA COMM CONS
Datang Intl Power Generational,00991.HK,601991.SH,大唐发电,DATANG POWER
Metallurgical Corporation of China,01618.HK,601618.SH,中国中冶,MCC
Tianjin Capital Environmental Protection Group Company,01065.HK,600874.SH,天津创业环保股份,TIANJIN CAPITAL
Top alliance,01877.HK,688180.SH,君实生物,Junshi BioPharma 
Maanshan Iron Steel,00323.HK,600808.SH,马鞍山钢铁股份,MAANSHAN IRON
Haitong International,06837.HK,600837.SH,海通证券,Haitong Securities
China Merchants Securities,06099.HK,600999.SH,招商证券,CMSC
HUANENG POWER,00902.HK,600011.SH,华能国际电力股份,
Xinhua Winshare Publishing and Media,00811.HK,601811.SH,新华文轩,XINHUA WINSHARE
HUAXIN CEMENT,06655.HK,600801.SH,华新水泥,
People's Insurance Company of China,01339.HK,601319.SH,中国人民保险集团,PICC GROUP
Dongfang Electric,01072.HK,600875.SH,东方电气,DONGFANG ELEC
China Railway Signal Communication,03969.HK,688009.SH,中国通号,CHINA CRSC
Bank Of Chongqing,01963.HK,601963.SH,重庆银行,
Beijing Chunlizhengda,01858.HK,688236.SH,春立医疗,CHUNLI MEDICAL
Shandong Chenming Paper,01812.HK,000488.SZ,晨鸣纸业,CHENMING PAPER
New China Life Insurance,01336.HK,601336.SH,新华保险,
Guangshen Railway,00525.HK,601333.SH,广深铁路股份,GUANGSHEN RAIL
JOINN Lab,06127.HK,603127.SH,昭衍新药,JOINN
Chongqing Iron  Steel,01053.HK,601005.SH,重庆钢铁股份,CHONGQING IRON
CIMC VEHICLES,01839.HK,301039.SZ,中集车辆,Shenzhen Cimc 
Zhengzhou Coal Mining Machinery,00564.HK,601717.SH,郑煤机,
