Date,Price,Open,High,Low,Vol.,Change
2012-12-27,862.82,871.32,875.75,861.96,96740000,-0.75
2012-12-28,872.96,862.20,872.96,859.29,80100000,1.18
2012-12-31,881.17,874.56,881.17,871.76,84530000,0.94
2013-01-04,877.76,887.36,889.09,868.48,90800000,-0.39
2013-01-07,885.49,876.12,885.49,873.51,84880000,0.88
2013-01-08,895.15,885.55,898.05,880.58,102200000,1.09
2013-01-09,897.81,893.57,903.74,889.45,102930000,0.30
2013-01-10,902.19,897.22,906.85,895.86,90070000,0.49
2013-01-11,886.13,903.28,905.43,883.94,99460000,-1.78
2013-01-14,918.33,884.41,919.28,884.06,111360000,3.63
2013-01-15,932.55,919.45,935.89,919.44,130780000,1.55
2013-01-16,929.73,931.44,935.85,915.68,119160000,-0.30
2013-01-17,921.70,928.28,930.98,918.17,89390000,-0.86
2013-01-18,935.70,924.46,937.28,920.03,95630000,1.52
2013-01-21,942.50,938.82,942.50,934.09,101130000,0.73
2013-01-22,928.90,942.75,942.75,921.72,108620000,-1.44
2013-01-23,930.40,926.04,932.24,918.06,87260000,0.16
2013-01-24,911.53,930.04,940.78,904.68,110030000,-2.03
2013-01-25,909.51,910.05,914.92,906.12,68510000,-0.22
2013-01-28,932.61,909.63,932.61,909.63,84580000,2.54
2013-01-29,941.28,933.58,943.35,932.41,96010000,0.93
2013-01-30,942.60,941.26,944.16,934.37,97670000,0.14
2013-01-31,936.21,942.16,942.78,932.13,89560000,-0.68
2013-02-01,944.28,934.08,944.28,932.34,90970000,0.86
2013-02-04,935.80,945.81,947.77,931.94,102610000,-0.90
2013-02-05,947.00,931.53,947.60,929.73,86690000,1.20
2013-02-06,951.52,947.16,954.58,947.16,75020000,0.48
2013-02-07,956.73,950.96,958.39,947.18,71830000,0.55
2013-02-08,969.52,956.04,973.65,956.04,75620000,1.34
2013-02-18,970.09,973.84,975.39,964.18,85800000,0.06
2013-02-19,951.71,969.46,970.04,948.33,90260000,-1.89
2013-02-20,969.38,950.81,969.38,950.23,84050000,1.86
2013-02-21,950.01,963.16,963.16,941.35,103900000,-2.00
2013-02-22,947.69,948.35,957.22,946.49,73210000,-0.24
2013-02-25,955.79,949.07,958.27,948.21,69500000,0.85
2013-02-26,943.33,951.92,961.17,942.59,86080000,-1.30
2013-02-27,945.86,945.00,953.53,938.06,73440000,0.27
2013-02-28,966.42,948.56,966.42,944.75,89590000,2.17
2013-03-01,977.36,966.21,977.36,964.31,95640000,1.13
2013-03-04,942.79,966.42,966.53,936.79,122560000,-3.54
2013-03-05,964.68,941.83,964.71,938.55,93780000,2.32
2013-03-06,979.19,967.53,979.33,967.53,118240000,1.50
2013-03-07,968.34,977.61,980.10,958.72,114390000,-1.11
2013-03-08,958.23,968.32,972.18,957.47,78690000,-1.04
2013-03-11,958.43,956.49,963.10,950.06,66950000,0.02
2013-03-12,935.38,957.76,964.02,924.56,89420000,-2.40
2013-03-13,927.08,933.20,933.43,917.98,65580000,-0.89
2013-03-14,930.60,924.31,935.28,923.31,54240000,0.38
2013-03-15,933.30,930.44,948.39,920.96,72500000,0.29
2013-03-18,922.57,930.06,936.00,921.60,61840000,-1.15
2013-03-19,924.53,922.80,927.50,910.93,62010000,0.21
2013-03-20,949.82,924.53,949.82,924.40,79930000,2.74
2013-03-21,958.39,950.03,961.78,949.20,83930000,0.90
2013-03-22,960.84,957.25,962.59,954.22,73580000,0.26
2013-03-25,959.93,962.03,964.80,954.32,71090000,-0.09
2013-03-26,953.36,956.95,957.90,942.51,71230000,-0.68
2013-03-27,955.24,953.06,963.05,948.93,67140000,0.20
2013-03-28,930.14,947.89,947.89,929.95,76950000,-2.63
2013-03-29,927.89,930.72,934.50,925.01,56340000,-0.24
2013-04-01,933.69,927.21,937.09,926.40,59300000,0.63
2013-04-02,921.41,934.15,943.41,919.76,69320000,-1.32
2013-04-03,913.32,922.20,924.81,909.80,62930000,-0.88
2013-04-08,918.50,901.17,918.50,892.48,64959999,0.57
2013-04-09,926.22,919.25,928.82,919.25,60760000,0.84
2013-04-10,921.86,925.68,928.24,914.51,58420000,-0.47
2013-04-11,919.12,924.67,927.18,918.60,53520000,-0.30
2013-04-12,912.65,917.95,923.12,911.79,51250000,-0.70
2013-04-15,900.46,909.72,910.17,897.62,51180000,-1.34
2013-04-16,909.95,892.85,910.06,890.46,52420000,1.05
2013-04-17,919.87,909.81,919.93,909.51,51650000,1.09
2013-04-18,923.14,915.44,927.38,912.90,54580000,0.36
2013-04-19,943.42,924.07,945.64,924.07,78200000,2.20
2013-04-22,949.10,940.16,949.10,939.52,81170000,0.60
2013-04-23,923.42,949.04,949.04,922.43,78820000,-2.71
2013-04-24,943.78,923.07,945.87,921.71,80160000,2.20
2013-04-25,927.80,941.33,947.21,927.80,87650000,-1.69
2013-04-26,912.62,927.90,930.97,911.17,67010000,-1.64
2013-05-02,918.48,908.49,918.54,905.71,53070000,0.64
2013-05-03,936.58,920.63,940.92,920.63,73040000,1.97
2013-05-06,953.98,938.67,955.10,938.67,81690000,1.86
2013-05-07,955.33,952.26,958.96,948.34,75810000,0.14
2013-05-08,965.41,957.60,965.41,956.13,83580000,1.06
2013-05-09,967.69,964.77,968.17,957.12,92560000,0.24
2013-05-10,971.36,965.40,973.24,961.78,84490000,0.38
2013-05-13,974.20,971.69,974.40,967.20,81010000,0.29
2013-05-14,960.81,973.29,973.29,955.03,78470000,-1.37
2013-05-15,975.65,960.91,975.65,960.91,75620000,1.54
2013-05-16,986.27,974.48,990.61,971.53,104010000,1.09
2013-05-17,1002.54,985.49,1003.76,985.05,109630000,1.65
2013-05-20,1016.91,1004.92,1018.30,1003.41,124590000,1.43
2013-05-21,1030.74,1016.13,1030.74,1015.07,124570000,1.36
2013-05-22,1021.40,1029.39,1032.65,1016.63,120580000,-0.91
2013-05-23,1014.47,1017.03,1030.34,1011.58,115930000,-0.68
2013-05-24,1029.30,1015.12,1029.30,1015.12,95160000,1.46
2013-05-27,1037.19,1029.62,1037.19,1028.68,105980000,0.77
2013-05-28,1036.41,1037.20,1038.56,1022.33,113740000,-0.08
2013-05-29,1042.60,1037.52,1044.27,1036.86,108960000,0.60
2013-05-30,1043.47,1040.09,1045.54,1037.46,104610000,0.08
2013-05-31,1035.80,1044.44,1047.07,1035.78,102510000,-0.74
2013-06-03,1027.59,1034.80,1039.18,1025.20,94170000,-0.79
2013-06-04,1007.09,1026.59,1026.59,999.57,99180000,-1.99
2013-06-05,1012.60,1006.38,1014.07,1003.54,70780000,0.55
2013-06-06,998.88,1009.72,1011.91,998.15,77540000,-1.35
2013-06-07,983.46,999.43,1004.48,977.95,82420000,-1.54
2013-06-13,955.26,971.01,971.01,936.64,78080000,-2.87
2013-06-14,975.65,956.80,977.09,956.80,73410000,2.13
2013-06-17,977.66,977.60,985.39,971.03,76430000,0.21
2013-06-18,979.43,978.33,981.85,966.69,69140000,0.18
2013-06-19,975.07,974.88,975.49,959.50,71590000,-0.45
2013-06-20,942.06,969.44,970.46,941.72,69980000,-3.39
2013-06-21,939.16,924.79,944.39,913.39,70310000,-0.31
2013-06-24,881.87,936.76,936.76,874.35,89350000,-6.10
2013-06-25,879.93,871.28,883.53,815.89,109390000,-0.22
2013-06-26,901.72,881.35,901.72,875.53,91420000,2.48
2013-06-27,886.91,903.49,915.96,886.66,95160000,-1.64
2013-06-28,887.68,880.86,905.76,872.24,79750000,0.09
2013-07-01,906.43,884.98,906.43,881.83,70650000,2.11
2013-07-02,922.23,907.21,922.86,905.73,83920000,1.74
2013-07-03,923.08,919.30,925.36,903.33,87820000,0.09
2013-07-04,928.58,917.09,939.60,912.18,95610000,0.60
2013-07-05,922.44,929.91,938.98,922.44,85520000,-0.66
2013-07-08,889.53,908.75,911.48,888.59,78380000,-3.57
2013-07-09,892.92,887.95,895.10,882.59,58000000,0.38
2013-07-10,918.40,892.94,918.40,891.92,80290000,2.85
2013-07-11,945.25,919.76,952.89,919.59,120860000,2.92
2013-07-12,940.19,944.92,956.65,939.74,102340000,-0.54
2013-07-15,961.41,943.38,961.82,943.38,98590000,2.26
2013-07-16,971.40,961.69,971.40,956.16,101540000,1.04
2013-07-17,956.50,968.80,974.64,952.69,101250000,-1.53
2013-07-18,952.61,953.31,960.65,944.98,89900000,-0.41
2013-07-19,931.65,952.52,961.66,931.65,106380000,-2.20
2013-07-22,948.27,925.48,948.27,921.70,83020000,1.78
2013-07-23,974.43,950.85,974.43,950.85,109190000,2.76
2013-07-24,980.97,972.52,983.14,964.25,112470000,0.67
2013-07-25,961.82,981.24,984.28,958.75,108310000,-1.95
2013-07-26,959.99,957.78,965.75,946.53,85040000,-0.19
2013-07-29,941.33,954.87,956.39,939.78,83230000,-1.94
2013-07-30,938.87,942.13,947.66,922.35,81230000,-0.26
2013-07-31,942.97,944.40,951.87,939.98,75690000,0.44
2013-08-01,971.71,945.42,971.71,944.92,96860000,3.05
2013-08-02,975.40,976.88,985.97,974.71,104280000,0.38
2013-08-05,991.54,975.44,991.54,974.82,91130000,1.65
2013-08-06,1002.37,990.82,1004.89,988.10,109360000,1.09
2013-08-07,990.78,1002.04,1005.19,989.23,110040000,-1.16
2013-08-08,994.64,988.74,1000.94,987.45,87480000,0.39
2013-08-09,996.42,996.92,1003.99,983.96,95430000,0.18
2013-08-12,1009.13,999.30,1009.13,998.67,113930000,1.28
2013-08-13,1014.97,1009.07,1014.97,1005.01,102600000,0.58
2013-08-14,1012.80,1015.28,1019.80,1008.80,107980000,-0.21
2013-08-15,1001.05,1011.73,1014.82,1000.74,92300000,-1.16
2013-08-16,980.61,996.23,1014.91,979.76,115660000,-2.04
2013-08-19,999.29,974.32,999.32,973.21,84840000,1.90
2013-08-20,998.84,998.28,1007.95,993.51,92020000,-0.05
2013-08-21,1003.83,999.16,1003.83,993.48,88770000,0.50
2013-08-22,1006.69,1002.32,1010.47,1001.03,94460000,0.28
2013-08-23,1004.93,1008.89,1012.70,986.39,107920000,-0.17
2013-08-26,1023.59,1006.30,1023.59,1006.30,98920000,1.86
2013-08-27,1029.45,1023.15,1029.45,1018.29,99420000,0.57
2013-08-28,1016.26,1023.03,1026.18,1014.63,116800000,-1.28
2013-08-29,1014.44,1016.85,1020.16,1008.96,99770000,-0.18
2013-08-30,996.70,1013.10,1017.40,992.61,122680000,-1.75
2013-09-02,1008.04,995.67,1008.18,991.93,94860000,1.14
2013-09-03,1023.79,1009.32,1023.80,1008.49,101700000,1.56
2013-09-04,1023.81,1023.51,1027.45,1020.09,104540000,0.00
2013-09-05,1025.83,1023.21,1028.22,1020.24,98240000,0.20
2013-09-06,1030.76,1024.32,1031.70,1023.21,94500000,0.48
2013-09-09,1039.91,1033.36,1040.77,1031.17,123280000,0.89
2013-09-10,1044.58,1040.75,1044.58,1034.80,129289999,0.45
2013-09-11,1034.52,1044.30,1044.79,1029.47,151000000,-0.96
2013-09-12,1035.00,1031.48,1038.73,1030.01,111950000,0.05
2013-09-13,1041.49,1035.05,1043.38,1032.62,102850000,0.63
2013-09-16,1045.24,1042.95,1049.92,1041.53,98880000,0.36
2013-09-17,1030.25,1045.11,1045.11,1030.03,98140000,-1.43
2013-09-18,1036.51,1028.96,1036.52,1026.05,79720000,0.61
2013-09-23,1059.74,1038.81,1059.74,1038.81,100420000,2.24
2013-09-24,1059.81,1059.59,1061.73,1048.94,112960000,0.01
2013-09-25,1054.07,1058.51,1062.45,1052.43,114010000,-0.54
2013-09-26,1039.86,1051.79,1054.70,1039.32,103170000,-1.35
2013-09-27,1043.74,1039.97,1047.65,1039.95,83030000,0.37
2013-09-30,1056.55,1046.05,1056.55,1046.05,74990000,1.23
2013-10-08,1074.80,1057.43,1075.09,1055.07,101310000,1.73
2013-10-09,1084.88,1072.31,1084.88,1069.42,106240000,0.94
2013-10-10,1076.85,1085.77,1086.67,1073.28,123480000,-0.74
2013-10-11,1087.44,1079.45,1087.80,1077.35,119940000,0.98
2013-10-14,1097.06,1088.28,1098.22,1085.96,129410000,0.88
2013-10-15,1094.58,1097.98,1098.87,1086.87,129370000,-0.23
2013-10-16,1066.33,1091.50,1091.50,1061.43,125200000,-2.58
2013-10-17,1066.53,1070.29,1079.22,1063.79,110370000,0.02
2013-10-18,1074.12,1066.55,1076.12,1064.62,89320000,0.71
2013-10-21,1101.59,1076.42,1101.59,1076.42,120400000,2.56
2013-10-22,1088.55,1101.58,1106.27,1086.37,137930000,-1.18
2013-10-23,1065.22,1087.68,1090.28,1059.96,124660000,-2.14
2013-10-24,1058.78,1062.38,1067.61,1056.80,84820000,-0.60
2013-10-25,1039.94,1059.60,1064.65,1033.63,96610000,-1.78
2013-10-28,1037.85,1038.95,1041.23,1031.46,83320000,-0.20
2013-10-29,1019.04,1037.06,1045.94,993.23,122850000,-1.81
2013-10-30,1035.20,1016.83,1035.23,1015.47,91540000,1.59
2013-10-31,1021.04,1032.77,1032.79,1019.96,92130000,-1.37
2013-11-01,1016.97,1017.53,1021.87,1006.27,73950000,-0.40
2013-11-04,1021.47,1018.25,1027.03,1017.69,65690000,0.44
2013-11-05,1034.61,1017.88,1034.62,1009.82,80210000,1.29
2013-11-06,1023.86,1031.76,1040.25,1023.86,91650000,-1.04
2013-11-07,1011.25,1020.55,1023.00,1008.09,73650000,-1.23
2013-11-08,997.88,1006.20,1009.73,994.61,69880000,-1.32
2013-11-11,1004.94,996.54,1008.69,990.39,59160000,0.71
2013-11-12,1014.19,1005.24,1014.65,1002.36,67990000,0.92
2013-11-13,996.37,1011.24,1011.24,996.29,69780000,-1.76
2013-11-14,1011.11,995.24,1011.12,988.48,73980000,1.48
2013-11-15,1029.71,1011.60,1038.62,1011.60,100560000,1.84
2013-11-18,1052.13,1034.96,1052.13,1034.15,111510000,2.18
2013-11-19,1054.05,1052.94,1057.23,1048.40,102830000,0.18
2013-11-20,1060.79,1057.23,1060.80,1050.40,98730000,0.64
2013-11-21,1055.92,1056.83,1058.16,1047.48,108750000,-0.46
2013-11-22,1052.71,1056.69,1059.64,1050.06,98830000,-0.30
2013-11-25,1052.19,1049.16,1060.21,1046.70,90860000,-0.05
2013-11-26,1054.65,1050.75,1057.75,1047.78,86270000,0.23
2013-11-27,1069.26,1053.76,1069.32,1053.15,97150000,1.39
2013-11-28,1079.88,1070.92,1085.91,1070.88,113000000,0.99
2013-11-29,1089.60,1079.89,1090.52,1079.89,103870000,0.90
2013-12-02,1035.54,1061.80,1072.00,1031.46,135850000,-4.96
2013-12-03,1053.29,1025.41,1055.16,1023.47,95790000,1.71
2013-12-04,1064.02,1051.33,1073.91,1050.07,117340000,1.02
2013-12-05,1058.01,1062.82,1066.34,1055.70,102500000,-0.56
2013-12-06,1055.87,1055.86,1060.34,1051.81,86010000,-0.20
2013-12-09,1066.73,1058.52,1066.73,1058.52,82770000,1.03
2013-12-10,1066.35,1067.69,1069.95,1059.97,92840000,-0.04
2013-12-11,1056.78,1062.69,1062.91,1049.52,85880000,-0.90
2013-12-12,1064.05,1054.73,1069.19,1054.60,77420000,0.69
2013-12-13,1068.19,1058.14,1070.77,1055.43,77690000,0.39
2013-12-16,1054.69,1068.86,1069.40,1052.39,86790000,-1.26
2013-12-17,1047.49,1053.89,1055.81,1043.40,71010000,-0.68
2013-12-18,1046.84,1047.80,1051.89,1042.46,62340000,-0.06
2013-12-19,1039.90,1048.40,1053.34,1039.56,65470000,-0.66
2013-12-20,1026.23,1040.19,1043.27,1022.92,69080000,-1.31
2013-12-23,1025.58,1026.11,1028.81,1010.08,61030000,-0.06
2013-12-24,1034.79,1026.79,1042.14,1025.57,63710000,0.90
2013-12-25,1050.99,1035.53,1050.99,1032.97,70160000,1.57
2013-12-26,1032.60,1050.16,1051.05,1032.30,76660000,-1.75
2013-12-27,1050.85,1031.46,1053.85,1031.46,78140000,1.77
2013-12-30,1054.22,1054.38,1057.61,1050.27,79610000,0.32
2013-12-31,1057.66,1050.38,1057.66,1045.43,74870000,0.33
2014-01-02,1068.10,1055.88,1068.10,1054.19,76520000,0.99
2014-01-03,1065.69,1065.78,1069.07,1060.38,88760000,-0.23
2014-01-06,1038.34,1063.49,1063.49,1037.62,90290000,-2.57
2014-01-07,1044.67,1032.75,1044.67,1030.79,70830000,0.61
2014-01-08,1053.77,1046.46,1059.22,1046.23,86220000,0.87
