word,positive,negative
噲,0,1
媢,1,0
媢嫉,1,0
忺,1,0
爱,1,0
爱不忍释,1,0
爱不释手,1,0
爱宠,1,0
爱戴,1,0
爱抚,1,0
爱好,1,0
爱护,1,0
爱怜,1,0
爱恋,1,0
爱慕,1,0
爱上,1,0
爱屋及乌,1,0
爱惜,1,0
安,1,0
昂扬,1,0
巴,1,0
巴不得,1,0
巴望,1,0
摆好,1,0
拜,1,0
拜拜,1,0
拜服,1,0
拜贺,1,0
拜谒,1,0
褒,1,0
褒奖,1,0
褒扬,1,0
睎,1,0
表扬,1,0
表彰,1,0
并重,1,0
补台,1,0
不看僧面看佛面,1,0
不愧,1,0
不胜欣忭,1,0
不惜,1,0
不厌,1,0
睬,1,0
采纳,1,0
参拜,1,0
参谒,1,0
侧重,1,0
馋,1,0
畅快,1,0
唱喏,1,0
倡,1,0
朝拜,1,0
朝思暮想,1,0
撑台面,1,0
撑腰,1,0
称,1,0
称道,1,0
称快,1,0
称赏,1,0
称颂,1,0
称叹,1,0
称羡,1,0
称谢,1,0
称心,1,0
称心如意,1,0
称心如愿,1,0
称许,1,0
称誉,1,0
称愿,1,0
称赞,1,0
承,1,0
承蒙,1,0
承情,1,0
承望,1,0
承应,1,0
骋怀,1,0
吃醋,1,0
痴,0,1
痴恋,1,0
痴迷,1,0
痴情,1,0
痴心不改,1,0
痴心妄想,1,0
驰念,1,0
驰思,1,0
崇,1,0
崇拜,1,0
崇敬,1,0
崇尚,1,0
崇仰,1,0
宠,1,0
宠爱,1,0
宠幸,1,0
酬谢,1,0
踌躇满志,1,0
出迎,1,0
垂爱,1,0
垂念,1,0
垂青,1,0
垂涎,1,0
垂涎三尺,1,0
垂涎欲滴,1,0
春风得意,1,0
春风满面,1,0
醋意大发,1,0
措意,1,0
答礼,1,0
答谢,1,0
答应,1,0
打千,1,0
大快人心,1,0
大喜过望,1,0
戴,1,0
胆敢,1,0
弹冠相庆,1,0
当真,1,0
当之无愧,1,0
倒向,1,0
道贺,1,0
道谢,1,0
得意,1,0
得意忘形,1,0
点头,1,0
点头称是,1,0
点头哈腰,1,0
电贺,1,0
奠祭,1,0
