word,positive,negative
accept,1,0
accept as unavoidable,1,0
acceptance,1,0
acclaim,1,0
acclaim ... as the acme of perfection,1,0
acclaim with clicks of the tongue,1,0
acclaimation,1,0
acclamation,1,0
ache,1,0
achieve what one wishes,1,0
acknowledge,1,0
acknowledge one's indebtedness,1,0
acknowledge sb's superiority,1,0
acknowledgement,1,0
acknowledgment,1,0
acquiesce in,1,0
admiration,1,0
admire,1,0
admire greatly,1,0
admirration,1,0
admissive,1,0
adopt,1,0
adoption,1,0
adoration,1,0
adore,1,0
advocate,1,0
affectionate,1,0
afford general satisfaction,1,0
affording general satisfaction,1,0
after one's own heart,1,0
agree,1,0
agree with,1,0
agreement,1,0
allow,1,0
anxiously expect,1,0
anxiously gaze till one's eyes are strained,1,0
appetence,1,0
appetency,1,0
applaud,1,0
applause,1,0
appreciate,1,0
appreciate the kindness,1,0
appreciation,1,0
approval,1,0
approve,1,0
approve of,1,0
ardently love,1,0
as if one had found a treasure,1,0
as one wishes,1,0
aspire after,1,0
assent,1,0
assume an air of complacency,1,0
assume an air of self-approbation,1,0
assume an air of self-conceit,1,0
attach importance to,1,0
attempt,1,0
attend to,1,0
await,1,0
await the arrival of,1,0
award,1,0
award people according to their contributions,1,0
back,1,0
back sb.up,1,0
back up,1,0
be absorbed in,1,0
be accorded,1,0
be all smiles,1,0
be amused,1,0
be attentive,1,0
be bent on,1,0
be beside oneself with joy,1,0
be burning with jealousy,1,0
be captivated,1,0
be careful,1,0
be carried away,1,0
be caught in the snares of love,1,0
be cautious,1,0
be charmed,1,0
be choosy,1,0
be comfortable,1,0
be complacent,1,0
be concerning with,1,0
be content with,1,0
be content with one's lot,1,0
be contented,1,0
be crazy about,1,0
be curious,1,0
be deeply concerned,1,0
be deeply grateful,1,0
be deeply in love,1,0
be delighted that things are better than one expected,1,0
be disposed to,1,0
be dying to,1,0
be eager to have a try,1,0
be eager to help,1,0
be elated,1,0
be enchanted,1,0
be enthusiastic about,1,0
be envious,1,0
be envious of,1,0
be fascinated,1,0
be fascinated by,1,0
be fastidious,1,0
be filled with admiration,1,0
be filled with exultation,1,0
be flushed with success,1,0
be fond of,1,0
be free from worry,1,0
be full of curiosity,1,0
be glad and thankful,1,0
be glad to,1,0
be granted,1,0
be granted a favour,1,0
be grateful,1,0
be gratified,1,0
be greedy for,0,1
be green-eyed,1,0
be happy,1,0
be happy to,1,0
be head over heels in love,1,0
be in favour of,1,0
be in joyful mood,1,0
be in love with,1,0
be indebted,1,0
be infatuated,1,0
be interested,1,0
be interested in,1,0
be intimate,1,0
be intoxicated,1,0
be jealous,1,0
be jealous of,1,0
be just what one hopes for,1,0
be keen as mustard,1,0
be keen on,1,0
be loyal,1,0
be merry and lively,1,0
be most willing to,1,0
be much obliged,1,0
be obliged,1,0
be obsessed,1,0
be only too anxious to,1,0
be overjealous,1,0
be overjoyed,1,0
be overwhelmed with joy,1,0
be partial to,1,0
be particular about,1,0
be passionately devoted,1,0
be perfectly content,1,0
be perfectly happy to,1,0
be pleasantly surprised,1,0
be pleased,1,0
be pleased with oneself,1,0
be possessed,1,0
be proud of oneself,1,0
be radiant with joy,1,0
be rapt,1,0
be ready,1,0
be ready to,1,0
be reconciled to,1,0
be refreshed,1,0
be reluctant to part,1,0
be reluctant to part with,1,0
be satisfied,1,0
be self-satisfied,1,0
be sentimentally attached to,1,0
be spellbound,1,0
be thankful,1,0
be to one's liking,1,0
be very fond of,1,0
be very keen on,1,0
be very pleased with oneself,1,0
be very worried about,1,0
be wild with joy,1,0
